Status,Order,Order line,Original order,Original line,Inventory type,Priority,Pipeline status,Pipeline status,Item,Ordered quantity,Designated shipment,Designated stop,Designated ship via,Designated static route,Created date time,Run number,Item description,{OrderLine.Substitute.displayText},Shortage?,NotaFiscal Status ,EmissaoNF,Original ordered quantity,Allocated quantity,Packed quantity,Shipped quantity,NotaFiscal Number,Assigned shipment,Assigned stop,Assigned ship via,Assigned static route,SerieNF,
READY,674780999,7770738420188644406,674780999,0001,1401,999,1000,Ready for Selection,005300916,1.0,081600162,,999,,"April 24, 2026 at 8:37:22 PM BRT",,CEL  MOTO G24 4 128 XT2423 6 GRAFITE,false,false,,,1.0,0.0,0.0,0.0,,081600162,,999,,,
READY,674781571,7770739620373477947,674781571,0001,1401,999,1000,Ready for Selection,005257387,9.0,082700313,,999,,"April 24, 2026 at 8:39:22 PM BRT",,ASP STICK 1450W PHILCO PAS1600P CYCLONE PT 110V,false,false,,,9.0,0.0,0.0,0.0,,082700313,,999,,,
READY,674782080,7770740406666846583,674782080,0001,1401,999,1000,Ready for Selection,005356466,1.0,077300436,,999,,"April 24, 2026 at 8:40:40 PM BRT",,NOT DELL I15 I1300 A30P CI5 8GB 512GB 15 6   W11,false,false,,,1.0,0.0,0.0,0.0,,077300436,,999,,,
READY,674782741,7770741416014159342,674782741,0001,1401,999,1000,Ready for Selection,005305977,1.0,075500454,,999,,"April 24, 2026 at 8:42:21 PM BRT",,REF FF 447L BRASTEMP BRE57FE INVERSE 220V BLACK,false,false,,,1.0,0.0,0.0,0.0,,075500454,,999,,,
READY,674782909,7770742035534446511,674782909,0001,1401,999,1000,Ready for Selection,005310520,1.0,077700443,,999,,"April 24, 2026 at 8:43:23 PM BRT",,VENT 40CM MS MONDIAL TURBO VT40NB 8P PT 110V ,false,false,,,1.0,0.0,0.0,0.0,,077700443,,999,,,
READY,674783831,7770743855238024684,674783831,0001,1401,999,1000,Ready for Selection,004087704,1.0,074400216,,999,,"April 24, 2026 at 8:46:25 PM BRT",,ESPREM PROF 260W BRITANIA TURBO PRO INOX BIV,false,false,,,1.0,0.0,0.0,0.0,,074400216,,999,,,
READY,674784036,7770744557562397957,674784036,0001,1401,999,1000,Ready for Selection,005285372,1.0,074700431,,999,,"April 24, 2026 at 8:47:35 PM BRT",,VENT 40CM COL BRITANIA BVT450 6P PT 110V,false,false,,,1.0,0.0,0.0,0.0,,074700431,,999,,,
READY,674784267,7770743410592465515,674784267,0001,1401,999,1000,Ready for Selection,004087704,1.0,075000195,,999,,"April 24, 2026 at 8:45:41 PM BRT",,ESPREM PROF 260W BRITANIA TURBO PRO INOX BIV,false,false,,,1.0,0.0,0.0,0.0,,075000195,,999,,,
READY,674784457,7770743668124352702,674784457,0001,1401,999,1000,Ready for Selection,004087704,1.0,074500432,,999,,"April 24, 2026 at 8:46:06 PM BRT",,ESPREM PROF 260W BRITANIA TURBO PRO INOX BIV,false,false,,,1.0,0.0,0.0,0.0,,074500432,,999,,,
READY,674784593,7770744867988831212,674784593,0001,1401,999,1000,Ready for Selection,005334659,1.0,074300437,,999,,"April 24, 2026 at 8:48:06 PM BRT",,FG 4B ATLAS DAKO SUPREME GLASS PRETO BIV,false,false,,,1.0,0.0,0.0,0.0,,074300437,,999,,,
READY,674784641,7770743874215423860,674784641,0001,1401,999,1000,Ready for Selection,004087704,1.0,075600217,,999,,"April 24, 2026 at 8:46:27 PM BRT",,ESPREM PROF 260W BRITANIA TURBO PRO INOX BIV,false,false,,,1.0,0.0,0.0,0.0,,075600217,,999,,,
READY,674784929,7770744144916343147,674784929,0001,1401,999,1000,Ready for Selection,004087704,3.0,079900441,,999,,"April 24, 2026 at 8:46:54 PM BRT",,ESPREM PROF 260W BRITANIA TURBO PRO INOX BIV,false,false,,,3.0,0.0,0.0,0.0,,079900441,,999,,,
READY,674785066,7770744882778572528,674785066,0001,1401,999,1000,Ready for Selection,004087704,3.0,079700429,,999,,"April 24, 2026 at 8:48:08 PM BRT",,ESPREM PROF 260W BRITANIA TURBO PRO INOX BIV,false,false,,,3.0,0.0,0.0,0.0,,079700429,,999,,,
